答题序号,来源,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,开始时间,提交时间,答题时长,IP省份,IP城市,IP地址,浏览器,操作系统
100000000,腾讯文档,2,,,云南大学旅游文化学院,是,没有,有,有,无,无,将近两个月 五个月,很近,没地铁 在,有,两个,11.3,还行,无,不能,无,有,能,校园卡,会,还行,方便,无,周末可进出,查寝 有正规理由可以回去,还行,2022-07-24 13:31:05,,,,,,,
100000001,腾讯文档,1,[DESENSITIZED],2.0,广东石油化工学院,有是，有不是,宿舍都有，教室的话新校区有、旧校区部分有,有,无,无,无打卡要求,一般就一两个月这样，就正常，不长不短,允许，不远，主要看自己定的取外卖的点,地铁无，学校周边交通便利，但新校区较偏僻，不过也不是很偏，大概公交半小时,新校区有，旧的无,还可以，不限制好像,断，晚上11点多，周末会晚一点，12点多,价格一般吧，不算贵不算便宜，偶尔有人会？我是没吃到过,全天,可以，校区里有设多个自助充电桩地点,每人每月免费使用多少度电来着，我忘了，后面超出这个额度就计费，电费也是不贵不便宜吧,无，但也可以在实验室通宵,没有限制,一卡通，打卡、进出宿舍区、进校门什么的都要用，饭堂可以一卡通，也可以直接手机支付（微信、支付宝都可以）,好像不会？也好像会？比如奖学金什么的是打到卡上的，忘记了,可以，和外面没什么差别，除了买不到菜这类宿舍禁止煮的,不错，很方便，也人性化,多，都是哈啰,晚上11点半，周末会晚一点,不查，门禁了会关宿舍区大门，晚归要登记，说明原因,挺好的，对于二本来说，环境不算差、资源不算差，学风这些看自己吧，有人努力有人不努力这很正常，社团挺多的，平时生活也挺丰富的,2022-07-24 13:43:24,,,,,,,
100000002,腾讯文档,2,,,苏州大学,是,有,无，宿舍楼底大澡堂,只有晚自习,无,无打卡,跟小学生差不多,允许，几十米,有,有,有时候会卡,无,价格中等，不会,7:00到22:00,可以，宿舍楼下,无,有,能,校园卡。支付宝，校园卡都可,会,还行，东西有点贵。,不错,无共享单车，有共享电瓶车，数量不多，欲购从速。,晚九点门禁,不查，能,无,2022-07-24 18:33:52,,,,,,,
100000003,腾讯文档,1,[DESENSITIZED],2.0,重庆第二师范学院,不是,有,有,大一有早自习,没有,一个月有八天到2km,没有小学期,允许，外卖放校门口,两个校区，山上校区15分钟车到山下,有,抢课网速可以,不断，十一点熄灯不断电（不包括厕所灯和阳台灯）,不贵,6：00-8：30；11：00-14：00；17：00-23：30,不可以,不限电，自己交电费,没有,能,学生卡，可以用学生卡实体卡也可以总软件二维码,会,还可以，种类算齐全,都可以收发，发快递价格偏贵,无,晚十一点,查寝室卫生，晚归记名字,无,2022-07-25 05:51:01,,,,,,,
100000004,腾讯文档,1,[DESENSITIZED],2.0,郑州工商学院,郑州校区大部分是,教室没有，宿舍有,郑州东校区没有独立卫浴，但洗澡也挺方便会有隔间,大一有晚自习,大一跑操，大二有早读,没有跑步打卡,正常寒假一个多月，暑假两个多月，疫情放假时间基本再加一个月，小学期4个月左右，疫情封校期间周六会补课。,疫情期间不允许,交通一般，在郊区，需要做公交到地铁站，一般要一个半小时左右,郑州小区只有北校区有，西校区和东校区都是洗衣房,网快，对抢课较友好，但周日到周四晚上十一点会断网,不断电，晚上十一点断网,不贵，会（小概率），曾吃出铁丝🤢,独立卫浴是中午，下午，晚上三个时间段，澡堂是下午两点到晚上十点,可以但没必要，学校真的很小，步行妥妥妥妥够了,每月会有免费送的点，超出限额要自己充电费。大部分时间是用不完的，但是最冷月和最热月是需要充的,没有，只有宿舍,可以,有一卡通，可以吃饭，洗澡，充电费。但是吃饭只要用支付宝支付,会，建设银行,挺好，物价不贵,不同的快递在不同的地方，还相隔很远，领快递麻烦，疫情有段时间不准领快递,哈罗，只有北校区附近有,九点半封校门，十点半封宿舍楼门,只有学生会来查违章电器，封，可以但会被记,"学风：自己想学习就去图书馆！
社团：要交社团费15，不要参加多，疫情几乎没有活动
师资：老师大部分都念PPT，还有念PPT都还不怎么样的，但也有很好的老师
校园环境：学校小的要死
不要来！学校破事贼多，导员事多，学校表面工程多，课前要有课前演讲四年都有！有的导员会根据学生和自己关系好不好来选优秀班委，优秀团员……",2022-07-25 12:10:50,,,,,,,
100000005,腾讯文档,2,,,成都中医药大学,上一人床下三人桌,有都有,有,没有,没有,没有要求,寒假一般一个半月，暑假两个月左右,允许，有的可以送到宿舍楼下，由于疫情有的送到小门，小门距离宿舍一两百米,有，在地铁终点站，到春熙路五十分钟,有,不知道，挺快的,24h不断,不贵，不会,早上8.00-10.00  中午11.30-13.30  晚上18.00-24.00,有租电瓶车的，不知道哪里充,1000w以上电器不准用，用了确实会一层楼跳闸（亲测）,有,随便，没人管你带不带电脑,饭卡，食堂都刷饭卡，小卖部超市可以饭卡，也可以微信,会,挺多的,挺好的,两三种，堆放整齐，有人在管，随便用，20分钟消费一块五,宿舍23.00关门吧，早上不知道。只要温江区没疫情就不会封校,一个月查一次，走过场。晚归会记名字,好像是2020年，学校把以前所有二本专业都提成一本招生了，所以显得调档线低。但是很多原来的一本专业还是得比一本线高40分以上才能录取的哦,2022-07-25 18:40:06,,,,,,,
100000006,腾讯文档,2,,,南阳理工学院,2022年新建了一个东校区，是上床下桌。其他不是,教室没有，只有电扇。宿舍有空调,2022年新建的东校区和青年公寓（好像）有独立卫浴。其他没有。具体看你宿舍在哪,大一有,大一有,我忘了几公里，可以骑车,寒假1个月多点，暑假2个月多点。疫情期间说不准。小学期4个月左右,允许，疫情期间去校门口领。具体看你宿舍在哪,在市里，没有地铁。一般都买电车,有,还行，一般在宿舍就用校园网，挺好的。选课时会卡,不断电,从我19年入学，食堂价格明显上涨，午饭大概10元左右吧。有过头发，小虫子，很少吧，感觉也无法避免那种,好像上午9点左右开始，到晚上10点多结束,可以，有充电桩,一个月送30度电。超出的要交电费。一般春秋时间不开空调不用交电费,宿舍好像有自习的地方，很小,这个没限制吧，听说有人宿舍自带的台式,校园卡充当洗澡卡，也可以在食堂吃饭用。但食堂支持微信支付宝云闪付，一般不用校园卡,会，录取通知书里有，用来存学费的，是建行的。,普通超市,有菜鸟驿站可以收寄,没有共享单车，南阳没有共享单车。但宿舍阿姨那里有很旧很破的自行车可以免费骑，不能弄丢,现阶段是疫情期间，不允许出校门，除非请假。宿舍的门禁是10点半好像,查寝，封寝，能回去，会记名,想不起来，没什么要说的，没有对比也感觉不出优缺点，就一般吧,2022-07-25 18:34:53,,,,,,,
100000007,腾讯文档,2,,,深圳职业技术学院,是,有,有独立卫浴,大一时候有早自习晚自习，后面就没有了，管的不严,没有,不清楚，那时候管得不严，没跑过,寒假暑假跟其他学校一样的放假时间，考完试就可以直接回去了,可以，要去校门口取外卖,留仙洞西区一出门五分钟不到有地铁，西丽需要走一段路才有地铁,有，每一层楼都有1-2个洗衣机,是需要用学生的账号密码登入，只能一个账号登陆一部,晚上10点断网,还可以，不算贵，有些很好吃，慢慢去发现吧,下午四点到晚上十点，插校园卡扣钱,不需要，很近,不清楚，一般插电脑手机充电都是没问题的，不能用锅,只能出校园了,可以,校园卡和银行卡还有热水卡,会,还可以，满足基本需求,可以，基本的快递都有,校园门口外有很多,到晚上十点，在门口抓到要登记，三次处罚,不查，会封楼下宿舍门，能回，不过会登记,校园环境以及住宿环境都是很不错的，而且位于深圳南山区，老师都是来自博士生，不过更多的是要靠自己去主动学习，利用好时间可以去升本或者实习，对自己未来还是有很不错的发展。,2022-07-25 19:36:55,,,,,,,
100000008,腾讯文档,1,[DESENSITIZED],2.0,郑州大学,四人和六人寝是,当年没有,没有，新校区都不太远,大一有,自愿跑，当年给早餐券,可以骑车,暑假时间长点，没有小学期,现在不清楚,离市区较远，交通还算便利,有,挺好的,不断电不断网,价格不贵，味道一般,不清楚现在,不清楚,用完可以买,当年没有通宵的自习室,可以,校园卡一卡通,会,还可以,不清楚,不清楚,不清楚,大一查,学风很好，毕业后发现好好学习才是最有用的，别的都啥没大用,2022-07-25 19:55:13,,,,,,,
100000009,腾讯文档,1,[DESENSITIZED],1.0,浙江农林大学,法学应该是,有,有,大一有,没有但有校园跑,60，可以,正常，没小学期,两百米,有，地铁一个半小时,有，四五块钱一次,还行，半夜可能没有,不断,凑合，有可能，反正衣锦不好吃,早上，中午，晚上五点到十一点,可以，教学楼或者寝室,不限吧,没,能,校园卡，可以用支付宝,建行,一般般,有菜鸟驿站,哈喽，多的,十一点寝室楼门禁,不查，封，能但要登记,不建议来法学，不建议来读文科,2022-07-25 20:24:32,,,,,,,
